Lag (min),Fold,Arquitectura,Dropout mask,RMSE test
15,0,"(32, 64)","(False, False)",0.002195
15,1,"(32, 64)","(False, False)",0.002393
15,2,"(32, 64)","(False, False)",0.002373
15,3,"(32, 64)","(False, False)",0.002507
15,4,"(32, 64)","(False, False)",0.002667
30,0,"(32, 64)","(False, False)",0.002869
30,1,"(32, 64)","(False, False)",0.003143
30,2,"(32, 64)","(False, False)",0.003272
30,3,"(32, 64)","(False, False)",0.00316
30,4,"(32, 64)","(False, False)",0.002849
60,0,"(32, 128)","(False, False)",0.004167
60,1,"(32, 128)","(False, False)",0.004302
60,2,"(32, 128)","(False, False)",0.004262
60,3,"(32, 128)","(False, False)",0.004493
60,4,"(32, 128)","(False, False)",0.004218
90,0,"(32, 128)","(False, False)",0.005057
90,1,"(32, 128)","(False, False)",0.005539
90,2,"(32, 128)","(False, False)",0.005129
90,3,"(32, 128)","(False, False)",0.005746
90,4,"(32, 128)","(False, False)",0.005978
